task,scale,repo,commit,issue_url,mode,repeat,provider,model,trace_backend,document_lines,wall_s,recovery_wall_s,prompt_tokens,completion_tokens,total_tokens,tool_calls,model_calls,recovery_ledger_steps,rollback_targets,regenerated_paths,independent_retained,independent_unchanged,documents_valid,solution_present,derived_removed,host_leak_before_commit,tests_rc,finished,finish_called,committed,success,error
short_requests_timeout,short,psf/requests,8068356288978c4f54661ae6f95afe0e0831885e,https://github.com/psf/requests/issues/5227,causal,0,anthropic,claude-fable-5,strace,16,42.841521,26.920021,0,0,0,0,0,0,"[1, 3, 4]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241103596626478608268d9d6FfqEwZJB) (request id: 202608241103498050544288268d9d6N02Ssmxx)
short_requests_timeout,short,psf/requests,8068356288978c4f54661ae6f95afe0e0831885e,https://github.com/psf/requests/issues/5227,temporal_checkpoint,0,anthropic,claude-fable-5,strace,16,30.217578,18.549123,0,0,0,0,0,0,"[1, 2, 3, 4]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241104302226489008268d9d6LnOS7JRh) (request id: 202608241104204559319468268d9d6yEWf2F98)
short_requests_timeout,short,psf/requests,8068356288978c4f54661ae6f95afe0e0831885e,https://github.com/psf/requests/issues/5227,whole_branch_abort,0,anthropic,claude-fable-5,strace,16,29.437105,16.923763,0,0,0,0,0,0,"[0, 1, 2, 3, 4]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241104591310187238268d9d6RvL6KznM) (request id: 202608241104494827513868268d9d6bn6KGmty)
medium_flask_config,medium,pallets/flask,d318b683471101618febed18996405ad26462110,https://github.com/pallets/flask/issues/3219,causal,0,anthropic,claude-fable-5,strace,32,25.451049,10.972679,0,0,0,0,0,0,"[1, 4, 5]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241105255191605508268d9d6Myn8dFQJ) (request id: 202608241105158603850028268d9d6YzSyEs7s)
medium_flask_config,medium,pallets/flask,d318b683471101618febed18996405ad26462110,https://github.com/pallets/flask/issues/3219,temporal_checkpoint,0,anthropic,claude-fable-5,strace,32,20.932383,5.873361,0,0,0,0,0,0,"[1, 2, 3, 4, 5]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241105461901104028268d9d6XzDuhTHs) (request id: 202608241105461640962178268d9d6WgQWRopq)
medium_flask_config,medium,pallets/flask,d318b683471101618febed18996405ad26462110,https://github.com/pallets/flask/issues/3219,whole_branch_abort,0,anthropic,claude-fable-5,strace,32,14.774888,1.094122,0,0,0,0,0,0,"[0, 1, 2, 3, 4, 5]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241106013368584178268d9d6HIdUyhvK) (request id: 202608241106013118280358268d9d6NCcGE8mp)
long_pytest_plugin_selection,long,pytest-dev/pytest,8f84744c418689e7b723d50aca54cd9d6c33af2e,https://github.com/pytest-dev/pytest/issues/5822,causal,0,anthropic,claude-fable-5,strace,64,121.258225,105.263271,0,0,0,0,0,0,"[1, 5, 6]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241108030042300088268d9d61YgLK4Pf) (request id: 202608241107533254217528268d9d6W7l0OQXx)
long_pytest_plugin_selection,long,pytest-dev/pytest,8f84744c418689e7b723d50aca54cd9d6c33af2e,https://github.com/pytest-dev/pytest/issues/5822,temporal_checkpoint,0,anthropic,claude-fable-5,strace,64,71.245231,55.308585,0,0,0,0,0,0,"[1, 2, 3, 4, 5, 6]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241109127897880348268d9d690fjZlrc) (request id: 202608241109028999533028268d9d6QsMWM5Xp)
long_pytest_plugin_selection,long,pytest-dev/pytest,8f84744c418689e7b723d50aca54cd9d6c33af2e,https://github.com/pytest-dev/pytest/issues/5822,whole_branch_abort,0,anthropic,claude-fable-5,strace,64,61.889177,47.031907,0,0,0,0,0,0,"[0, 1, 2, 3, 4, 5, 6]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241110154902980428268d9d6YVxJTMpk) (request id: 202608241110056801622748268d9d6ybEeK9mr)
short_requests_timeout,short,psf/requests,8068356288978c4f54661ae6f95afe0e0831885e,https://github.com/psf/requests/issues/5227,causal,0,anthropic,claude-opus-5,strace,16,21.373985,9.882061,0,0,0,0,0,0,"[1, 3, 4]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241110376356427718268d9d6RXzwGlmC) (request id: 202608241110375919097718268d9d6vaQ07Ygo)
short_requests_timeout,short,psf/requests,8068356288978c4f54661ae6f95afe0e0831885e,https://github.com/psf/requests/issues/5227,temporal_checkpoint,0,anthropic,claude-opus-5,strace,16,28.095793,16.795163,0,0,0,0,0,0,"[1, 2, 3, 4]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241111058595552618268d9d6QTJQOszA) (request id: 202608241110559924986958268d9d6UfNoxkOL)
short_requests_timeout,short,psf/requests,8068356288978c4f54661ae6f95afe0e0831885e,https://github.com/psf/requests/issues/5227,whole_branch_abort,0,anthropic,claude-opus-5,strace,16,19.170684,7.89906,0,0,0,0,0,0,"[0, 1, 2, 3, 4]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241111238198978818268d9d6mEjFcr3a) (request id: 202608241111237906730468268d9d6bpaEF2lZ)
medium_flask_config,medium,pallets/flask,d318b683471101618febed18996405ad26462110,https://github.com/pallets/flask/issues/3219,causal,0,anthropic,claude-opus-5,strace,32,14.825253,1.748431,0,0,0,0,0,0,"[1, 4, 5]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241111398041077868268d9d6cxEoxWY9) (request id: 202608241111396959114388268d9d65qDgvvY5)
medium_flask_config,medium,pallets/flask,d318b683471101618febed18996405ad26462110,https://github.com/pallets/flask/issues/3219,temporal_checkpoint,0,anthropic,claude-opus-5,strace,32,14.690367,1.111689,0,0,0,0,0,0,"[1, 2, 3, 4, 5]",[],False,False,False,False,False,False,error,False,False,False,False,RuntimeError: anthropic HTTP 400: 检测到您的客户端存在异常，请使用标准 Claude Code 客户端发起请求。如您对此不知情，请先升级 Claude Code 客户端至最新版本；仍无法恢复时，请联系技术支持或管理员。 (request id: 202608241111549769296838268d9d6NEmhYF8A) (request id: 202608241111549536733008268d9d653xWJHDZ)
