config_id,sweep,x_value,mode,total_steps,shape,fault_step,fault_fraction,independent_fraction,expected_target_count,independent_count,ledger_edges,repeats,rollback_precision_mean,rollback_precision_stdev,rollback_recall_mean,rollback_recall_stdev,independent_retention_mean,independent_retention_stdev,target_removed_mean,target_removed_stdev,useful_work_lost_mean,useful_work_lost_stdev,invalid_work_retained_mean,invalid_work_retained_stdev,execution_ms_mean,execution_ms_stdev,rollback_ms_mean,rollback_ms_stdev,rollback_ms_p95,commit_ms_mean,commit_ms_stdev,final_correct_rate,host_clean_rate
0,size,16,causal,16,layered,4,0.266667,0.5625,7,9,8,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.193333,56.683459,194.850333,63.481236,251.2374,524.575667,103.517706,1.0,1.0
0,size,16,causal_without_dependencies,16,layered,4,0.266667,0.5625,7,9,0,3,1.0,0.0,0.142857,0.0,1.0,0.0,0.142857,0.0,0.0,0.0,6.0,0.0,384.217333,31.637408,147.965333,30.157972,177.6946,479.261,44.797676,0.0,1.0
0,size,16,temporal,16,layered,4,0.266667,0.5625,7,9,8,3,0.583333,0.0,1.0,0.0,0.444444,0.0,1.0,0.0,5.0,0.0,0.0,0.0,422.178333,32.380242,155.768333,27.685361,183.0723,350.774667,14.009434,0.0,1.0
0,size,16,whole_session,16,layered,4,0.266667,0.5625,7,9,8,3,0.4375,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,396.249333,42.323186,140.065,6.170217,146.151,0.0,0.0,0.0,1.0
1,size,32,causal,32,layered,8,0.258065,0.59375,13,19,17,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,652.587667,37.254853,145.064333,4.782769,149.5954,513.877,35.237917,1.0,1.0
1,size,32,causal_without_dependencies,32,layered,8,0.258065,0.59375,13,19,0,3,1.0,0.0,0.076923,0.0,1.0,0.0,0.076923,0.0,0.0,0.0,12.0,0.0,680.428333,25.245148,137.919667,1.683803,139.5783,713.680667,143.185238,0.0,1.0
1,size,32,temporal,32,layered,8,0.258065,0.59375,13,19,17,3,0.541667,0.0,1.0,0.0,0.421053,0.0,1.0,0.0,11.0,0.0,0.0,0.0,631.996,35.60701,171.312333,35.238851,206.0008,392.46,19.244611,0.0,1.0
1,size,32,whole_session,32,layered,8,0.258065,0.59375,13,19,17,3,0.40625,0.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,612.212,42.297465,160.374667,10.68045,170.9115,0.0,0.0,0.0,1.0
2,size,64,causal,64,layered,16,0.253968,0.609375,25,39,34,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1385.366667,227.906165,208.890667,64.80375,272.744,817.940667,96.554086,1.0,1.0
2,size,64,causal_without_dependencies,64,layered,16,0.253968,0.609375,25,39,0,3,1.0,0.0,0.04,0.0,1.0,0.0,0.04,0.0,0.0,0.0,24.0,0.0,1176.934,72.8327,179.715333,65.918557,244.6355,1032.187667,31.533964,0.0,1.0
2,size,64,temporal,64,layered,16,0.253968,0.609375,25,39,34,3,0.520833,0.0,1.0,0.0,0.410256,0.0,1.0,0.0,23.0,0.0,0.0,0.0,1223.162333,22.220504,228.242,41.070257,268.6788,481.427333,57.738501,0.0,1.0
2,size,64,whole_session,64,layered,16,0.253968,0.609375,25,39,34,3,0.390625,0.0,1.0,0.0,0.0,0.0,1.0,0.0,39.0,0.0,0.0,0.0,1193.630333,54.659425,212.192667,20.056598,229.8578,0.0,0.0,0.0,1.0
3,shape,chain,causal,32,chain,8,0.258065,0.59375,13,19,12,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,661.364667,76.437251,177.772,47.206784,224.2398,547.516667,90.700994,1.0,1.0
3,shape,chain,causal_without_dependencies,32,chain,8,0.258065,0.59375,13,19,0,3,1.0,0.0,0.076923,0.0,1.0,0.0,0.076923,0.0,0.0,0.0,12.0,0.0,615.960667,57.087162,138.589,1.979699,140.5421,735.870333,76.491173,0.0,1.0
3,shape,chain,temporal,32,chain,8,0.258065,0.59375,13,19,12,3,0.541667,0.0,1.0,0.0,0.421053,0.0,1.0,0.0,11.0,0.0,0.0,0.0,626.444,49.465581,154.484333,10.122645,164.2904,372.1,21.700001,0.0,1.0
3,shape,chain,whole_session,32,chain,8,0.258065,0.59375,13,19,12,3,0.40625,0.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,654.081,34.01255,162.545667,3.525483,165.2591,0.001333,0.000577,0.0,1.0
4,shape,fanout,causal,32,fanout,8,0.258065,0.59375,13,19,12,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,634.053667,69.757046,145.268333,11.081543,156.2011,503.975667,57.857945,1.0,1.0
4,shape,fanout,causal_without_dependencies,32,fanout,8,0.258065,0.59375,13,19,0,3,1.0,0.0,0.076923,0.0,1.0,0.0,0.076923,0.0,0.0,0.0,12.0,0.0,700.97,11.565336,138.672,4.969512,143.5748,752.421333,48.489527,0.0,1.0
4,shape,fanout,temporal,32,fanout,8,0.258065,0.59375,13,19,12,3,0.541667,0.0,1.0,0.0,0.421053,0.0,1.0,0.0,11.0,0.0,0.0,0.0,654.942667,60.498609,182.914667,55.698998,237.8641,419.559333,62.444505,0.0,1.0
4,shape,fanout,whole_session,32,fanout,8,0.258065,0.59375,13,19,12,3,0.40625,0.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,765.914667,64.414362,167.802667,2.846846,170.5104,0.000333,0.000577,0.0,1.0
5,shape,layered,causal,32,layered,8,0.258065,0.59375,13,19,17,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,619.553333,55.537824,143.585333,6.954611,150.4375,498.807,38.779955,1.0,1.0
5,shape,layered,causal_without_dependencies,32,layered,8,0.258065,0.59375,13,19,0,3,1.0,0.0,0.076923,0.0,1.0,0.0,0.076923,0.0,0.0,0.0,12.0,0.0,655.348333,92.192148,153.503333,34.202562,187.2119,851.741667,376.847549,0.0,1.0
5,shape,layered,temporal,32,layered,8,0.258065,0.59375,13,19,17,3,0.541667,0.0,1.0,0.0,0.421053,0.0,1.0,0.0,11.0,0.0,0.0,0.0,604.063333,33.104161,149.65,2.100904,151.5918,406.129333,12.189669,0.0,1.0
