config_id,sweep,x_value,requested_total_steps,requested_shape,requested_fault_fraction,requested_independent_fraction,mode,repeat,total_steps,shape,fault_step,fault_fraction,independent_fraction,expected_target_count,independent_count,actual_target_count,ledger_edges,execution_ms,rollback_ms,commit_ms,host_clean_before_commit,merged_correct_after_rollback,rollback_precision,rollback_recall,independent_retention,target_removed,useful_work_lost,invalid_work_retained,false_rollback_count,missed_target_count,final_correct
0,size,16,16,layered,0.25,0.5,causal,0,16,layered,4,0.266667,0.5625,7,9,7,8,1832.227,235.014,3879.545,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
0,size,16,16,layered,0.25,0.5,causal,1,16,layered,4,0.266667,0.5625,7,9,7,8,3125.176,182.741,1945.861,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
0,size,16,16,layered,0.25,0.5,causal,2,16,layered,4,0.266667,0.5625,7,9,7,8,2003.413,232.381,1914.507,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
0,size,16,16,layered,0.25,0.5,temporal,0,16,layered,4,0.266667,0.5625,7,9,12,8,2140.295,230.297,1984.714,True,False,0.5833333333333334,1.0,0.4444444444444444,1.0,5,0,5,0,False
0,size,16,16,layered,0.25,0.5,temporal,1,16,layered,4,0.266667,0.5625,7,9,12,8,2214.428,175.594,1887.883,True,False,0.5833333333333334,1.0,0.4444444444444444,1.0,5,0,5,0,False
0,size,16,16,layered,0.25,0.5,temporal,2,16,layered,4,0.266667,0.5625,7,9,12,8,1927.932,226.131,1888.412,True,False,0.5833333333333334,1.0,0.4444444444444444,1.0,5,0,5,0,False
0,size,16,16,layered,0.25,0.5,whole_session,0,16,layered,4,0.266667,0.5625,7,9,16,8,1894.821,174.781,0.0,True,False,0.4375,1.0,0.0,1.0,9,0,9,0,False
0,size,16,16,layered,0.25,0.5,whole_session,1,16,layered,4,0.266667,0.5625,7,9,16,8,2061.152,174.297,0.0,True,False,0.4375,1.0,0.0,1.0,9,0,9,0,False
0,size,16,16,layered,0.25,0.5,whole_session,2,16,layered,4,0.266667,0.5625,7,9,16,8,2157.687,225.244,0.0,True,False,0.4375,1.0,0.0,1.0,9,0,9,0,False
0,size,16,16,layered,0.25,0.5,causal_without_dependencies,0,16,layered,4,0.266667,0.5625,7,9,1,0,2028.243,234.49,2005.324,True,False,1.0,0.14285714285714285,1.0,0.1428571428571429,0,6,0,6,False
