causal_retention_correct,exit_codes,host_after_recovery,host_before_recovery,host_clean_before_recovery,mode,n_calls,note,per_step_ms,repeats,suite,supported,wall_s_mean,wall_s_stdev
,,,,,bare,10,,1.282,3,overhead,True,0.012823,0.000802
,,,,,per_call_try,10,,2126.892,3,overhead,True,21.268921,0.298713
,,,,,session_try,10,,187.061,3,overhead,True,1.870609,0.12319
,,,,,shared_try,10,,1894.783,3,overhead,True,18.94783,0.392289
,,,,,shared_checkpoint,10,,370.347,3,overhead,True,3.703467,0.058882
,,,,,bubblewrap,10,,1.03,3,overhead,True,0.010302,0.000721
,,,,,agenttx_without_read_tracing,10,,389.319,3,overhead,True,3.893193,0.104767
,,,,,agenttx_full,10,,411.479,3,overhead,True,4.114792,0.100626
False,"[0, 0, 0]","{'a.txt': False, 'b.txt': False, 'c.txt': False}","{'a.txt': True, 'b.txt': True, 'c.txt': True}",False,bare,,host writes visible before recovery; whole cleanup loses c,,,recovery,True,,
False,"[0, 0, 0]","{'a.txt': False, 'b.txt': False, 'c.txt': False}","{'a.txt': False, 'b.txt': False, 'c.txt': False}",True,per_call_try,,isolated calls cannot pass a from step 0 to step 1,,,recovery,True,,
False,[0],"{'a.txt': False, 'b.txt': False, 'c.txt': False}","{'a.txt': False, 'b.txt': False, 'c.txt': False}",True,session_try,,"one session can see state, but abort discards the whole session",,,recovery,True,,
False,"[0, 0, 0]","{'a.txt': False, 'b.txt': False, 'c.txt': False}","{'a.txt': False, 'b.txt': False, 'c.txt': False}",True,shared_try,,"shared upperdir preserves state, but recovery is whole-session discard",,,recovery,True,,
False,"[0, 0, 0]","{'a.txt': False, 'b.txt': False, 'c.txt': False}","{'a.txt': False, 'b.txt': False, 'c.txt': False}",True,shared_checkpoint,,full checkpoint restore removes independent c with the failed prefix,,,recovery,True,,
False,[0],"{'a.txt': False, 'b.txt': False, 'c.txt': False}","{'a.txt': False, 'b.txt': False, 'c.txt': False}",True,bubblewrap,,whole-session namespace abort; no causal retention,,,recovery,True,,
False,"[0, 0, 0, 1]","{'a.txt': False, 'b.txt': True, 'c.txt': True}","{'a.txt': False, 'b.txt': False, 'c.txt': False}",True,agenttx_without_read_tracing,,causal targets=[0]; read tracing=False,,,recovery,True,,
True,"[0, 0, 0, 1]","{'a.txt': False, 'b.txt': False, 'c.txt': True}","{'a.txt': False, 'b.txt': False, 'c.txt': False}",True,agenttx_full,,"causal targets=[0, 1]; read tracing=True",,,recovery,True,,
