causal_correct_count,causal_correct_rate,host_clean_rate,mode,n_calls,note,notes,per_step_ms_mean,per_step_ms_p50,per_step_ms_p95,per_step_ms_p99,repeats_requested,samples,suite,supported,supported_rate,wall_s_mean,wall_s_p50,wall_s_p95,wall_s_p99,wall_s_stdev
,,,bare,10,,,1.481,1.184,1.497,8.086,50,50,overhead,True,,0.014809,0.011839,0.014972,0.080861,0.013667
,,,per_call_try,10,,,1843.523,1775.882,2081.563,2092.963,50,50,overhead,True,,18.435228,17.758818,20.815633,20.929625,1.585622
,,,session_try,10,,,198.783,192.409,255.19,267.591,50,50,overhead,True,,1.987827,1.92409,2.551897,2.675915,0.27668
,,,shared_try,10,,,2008.148,2001.217,2089.847,2098.075,50,50,overhead,True,,20.081483,20.012174,20.89847,20.980748,0.658407
,,,shared_checkpoint,10,,,400.052,395.958,459.678,469.125,50,50,overhead,True,,4.000518,3.959575,4.596777,4.691253,0.300602
,,,bubblewrap,10,,,1.416,1.115,3.628,6.263,50,50,overhead,True,,0.014155,0.011149,0.036275,0.062633,0.011833
,,,agenttx_without_read_tracing,10,,,368.688,364.666,398.128,422.24,50,50,overhead,True,,3.68688,3.646656,3.981281,4.222396,0.148897
,,,agenttx_full,10,,,382.191,377.387,420.63,426.298,50,50,overhead,True,,3.821913,3.773872,4.2063,4.262984,0.164543
0,0.0,0.0,bare,,,['host writes visible before recovery; whole cleanup loses c'],,,,,,50,recovery,,1.0,,,,,
0,0.0,1.0,per_call_try,,,['isolated calls cannot pass a from step 0 to step 1'],,,,,,50,recovery,,1.0,,,,,
0,0.0,1.0,session_try,,,"['one session can see state, but abort discards the whole session']",,,,,,50,recovery,,1.0,,,,,
0,0.0,1.0,shared_try,,,"['shared upperdir preserves state, but recovery is whole-session discard']",,,,,,50,recovery,,1.0,,,,,
0,0.0,1.0,shared_checkpoint,,,['full checkpoint restore removes independent c with the failed prefix'],,,,,,50,recovery,,1.0,,,,,
0,0.0,1.0,bubblewrap,,,['whole-session namespace abort; no causal retention'],,,,,,50,recovery,,1.0,,,,,
0,0.0,1.0,agenttx_without_read_tracing,,,['causal targets=[0]; read tracing=False'],,,,,,50,recovery,,1.0,,,,,
50,1.0,1.0,agenttx_full,,,"['causal targets=[0, 1]; read tracing=True']",,,,,,50,recovery,,1.0,,,,,
