"mode","document_lines","repeat","provider","model","wall_s","prompt_tokens","completion_tokens","total_tokens","tool_calls","model_calls","ledger_steps","rollback_targets","policy_targets_correct","regenerated_documents","regenerated_document_count","replay_usage","regeneration_compliant","host_polluted_before_commit","tests_rc","success","error"
"causal","12","0","deepseek","deepseek-v4-flash","1.825567","0","0","0","0","0","5","[1, 3, 4]","True","[]","0","[]","True","False","0","True",""
"causal","12","1","deepseek","deepseek-v4-flash","2.060806","0","0","0","0","0","5","[1, 3, 4]","True","[]","0","[]","True","False","0","True",""
"causal","12","2","deepseek","deepseek-v4-flash","1.878695","0","0","0","0","0","5","[1, 3, 4]","True","[]","0","[]","True","False","0","True",""
"temporal_checkpoint","12","0","deepseek","deepseek-v4-flash","15.825627","491","406","897","1","1","6","[1, 2, 3, 4]","True","[""docs/changelog.md""]","1","[{""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 406, ""total_tokens"": 897}]","True","False","0","True",""
"temporal_checkpoint","12","1","deepseek","deepseek-v4-flash","15.325583","491","355","846","1","1","6","[1, 2, 3, 4]","True","[""docs/changelog.md""]","1","[{""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 355, ""total_tokens"": 846}]","True","False","0","True",""
"temporal_checkpoint","12","2","deepseek","deepseek-v4-flash","14.719632","491","359","850","1","1","6","[1, 2, 3, 4]","True","[""docs/changelog.md""]","1","[{""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 359, ""total_tokens"": 850}]","True","False","0","True",""
"whole_branch_abort","12","0","deepseek","deepseek-v4-flash","25.201913","982","843","1825","2","2","7","[0, 1, 2, 3, 4]","True","[""docs/design.md"", ""docs/changelog.md""]","2","[{""path"": ""docs/design.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 477, ""total_tokens"": 968}, {""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 366, ""total_tokens"": 857}]","True","False","0","True",""
"whole_branch_abort","12","1","deepseek","deepseek-v4-flash","20.434943","982","867","1849","2","2","7","[0, 1, 2, 3, 4]","True","[""docs/design.md"", ""docs/changelog.md""]","2","[{""path"": ""docs/design.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 479, ""total_tokens"": 970}, {""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 388, ""total_tokens"": 879}]","True","False","0","True",""
"whole_branch_abort","12","2","deepseek","deepseek-v4-flash","19.138039","982","736","1718","2","2","7","[0, 1, 2, 3, 4]","True","[""docs/design.md"", ""docs/changelog.md""]","2","[{""path"": ""docs/design.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 390, ""total_tokens"": 881}, {""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 346, ""total_tokens"": 837}]","True","False","0","True",""
"causal","24","0","deepseek","deepseek-v4-flash","2.252591","0","0","0","0","0","5","[1, 3, 4]","True","[]","0","[]","True","False","0","True",""
"causal","24","1","deepseek","deepseek-v4-flash","1.916639","0","0","0","0","0","5","[1, 3, 4]","True","[]","0","[]","True","False","0","True",""
"causal","24","2","deepseek","deepseek-v4-flash","1.81521","0","0","0","0","0","5","[1, 3, 4]","True","[]","0","[]","True","False","0","True",""
"temporal_checkpoint","24","0","deepseek","deepseek-v4-flash","17.739376","491","535","1026","1","1","6","[1, 2, 3, 4]","True","[""docs/changelog.md""]","1","[{""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 535, ""total_tokens"": 1026}]","True","False","0","True",""
"temporal_checkpoint","24","1","deepseek","deepseek-v4-flash","16.809647","491","542","1033","1","1","6","[1, 2, 3, 4]","True","[""docs/changelog.md""]","1","[{""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 542, ""total_tokens"": 1033}]","True","False","0","True",""
"temporal_checkpoint","24","2","deepseek","deepseek-v4-flash","17.840691","491","631","1122","1","1","6","[1, 2, 3, 4]","True","[""docs/changelog.md""]","1","[{""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 631, ""total_tokens"": 1122}]","True","False","0","True",""
"whole_branch_abort","24","0","deepseek","deepseek-v4-flash","24.30156","982","1257","2239","2","2","7","[0, 1, 2, 3, 4]","True","[""docs/design.md"", ""docs/changelog.md""]","2","[{""path"": ""docs/design.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 598, ""total_tokens"": 1089}, {""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 659, ""total_tokens"": 1150}]","True","False","0","True",""
"whole_branch_abort","24","1","deepseek","deepseek-v4-flash","24.711876","982","1250","2232","2","2","7","[0, 1, 2, 3, 4]","True","[""docs/design.md"", ""docs/changelog.md""]","2","[{""path"": ""docs/design.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 668, ""total_tokens"": 1159}, {""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 582, ""total_tokens"": 1073}]","True","False","0","True",""
"whole_branch_abort","24","2","deepseek","deepseek-v4-flash","24.669691","982","1242","2224","2","2","7","[0, 1, 2, 3, 4]","True","[""docs/design.md"", ""docs/changelog.md""]","2","[{""path"": ""docs/design.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 655, ""total_tokens"": 1146}, {""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 587, ""total_tokens"": 1078}]","True","False","0","True",""
"causal","48","0","deepseek","deepseek-v4-flash","1.745749","0","0","0","0","0","5","[1, 3, 4]","True","[]","0","[]","True","False","0","True",""
"causal","48","1","deepseek","deepseek-v4-flash","1.937769","0","0","0","0","0","5","[1, 3, 4]","True","[]","0","[]","True","False","0","True",""
"causal","48","2","deepseek","deepseek-v4-flash","1.934002","0","0","0","0","0","5","[1, 3, 4]","True","[]","0","[]","True","False","0","True",""
"temporal_checkpoint","48","0","deepseek","deepseek-v4-flash","21.249138","491","916","1407","1","1","6","[1, 2, 3, 4]","True","[""docs/changelog.md""]","1","[{""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 916, ""total_tokens"": 1407}]","True","False","0","True",""
"temporal_checkpoint","48","1","deepseek","deepseek-v4-flash","20.481536","491","868","1359","1","1","6","[1, 2, 3, 4]","True","[""docs/changelog.md""]","1","[{""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 868, ""total_tokens"": 1359}]","True","False","0","True",""
"temporal_checkpoint","48","2","deepseek","deepseek-v4-flash","20.898078","491","1017","1508","1","1","6","[1, 2, 3, 4]","True","[""docs/changelog.md""]","1","[{""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 1017, ""total_tokens"": 1508}]","True","False","0","True",""
"whole_branch_abort","48","0","deepseek","deepseek-v4-flash","32.016733","982","2102","3084","2","2","7","[0, 1, 2, 3, 4]","True","[""docs/design.md"", ""docs/changelog.md""]","2","[{""path"": ""docs/design.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 1122, ""total_tokens"": 1613}, {""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 491, ""completion_tokens"": 980, ""total_tokens"": 1471}]","True","False","0","True",""
