length,mode,repeats,wall_s_mean,wall_s_stdev,per_step_ms_mean,per_step_ms_stdev,failures_mean,host_polluted,ledger_effects_mean,read_effects_mean
54,bare,2,3.279204,0.089653,60.726,1.66,2.0,True,0.0,0.0
54,agenttx_without_read_tracing,2,8.02529,0.237984,148.616,4.407,2.0,False,46.0,10.0
54,agenttx_full,2,11.899862,0.537167,220.368,9.948,2.0,False,1021.0,985.0
64,bare,2,3.276744,0.012654,51.199,0.198,2.0,True,0.0,0.0
64,agenttx_without_read_tracing,2,7.975755,0.154672,124.621,2.417,2.0,False,56.0,15.0
64,agenttx_full,2,12.442333,0.891134,194.411,13.924,2.0,False,1046.0,1005.0
96,bare,2,3.340365,0.011831,34.795,0.123,2.0,True,0.0,0.0
96,agenttx_without_read_tracing,2,9.226002,0.727908,96.104,7.582,2.0,False,88.0,31.0
96,agenttx_full,2,13.160496,0.363952,137.088,3.791,2.0,False,1126.0,1069.0
128,bare,2,3.453814,0.061714,26.983,0.482,2.0,True,0.0,0.0
128,agenttx_without_read_tracing,2,10.610559,0.085441,82.895,0.668,2.0,False,120.0,47.0
128,agenttx_full,2,13.779233,0.431427,107.65,3.371,2.0,False,1206.0,1133.0
