suite,mode,length,repeats,wall_mean_s,wall_stdev_s,wall_p50_s,wall_p95_s,per_step_mean_ms,per_step_stdev_ms
motivation_existing_scaling,bare,32,2,0.273736,0.037485,0.273736,0.297592,8.554,1.171
motivation_existing_scaling,try,32,2,53.117427,0.423639,53.117427,53.387029,1659.92,13.239
motivation_existing_scaling,YoloFS,32,2,52.363281,0.086181,52.363281,52.418127,1636.353,2.693
motivation_existing_scaling,BranchFS,32,2,53.229158,0.151456,53.229158,53.325544,1663.411,4.733
motivation_existing_scaling,Crab,32,2,4.090226,0.159363,4.090226,4.191644,127.82,4.98
motivation_existing_scaling,DeltaBox,32,2,4.145855,0.000606,4.145855,4.146241,129.558,0.019
motivation_existing_scaling,bare,64,2,0.536567,0.013617,0.536567,0.545233,8.384,0.213
motivation_existing_scaling,try,64,2,107.834929,0.04903,107.834929,107.866131,1684.921,0.766
motivation_existing_scaling,YoloFS,64,2,106.220028,0.128788,106.220028,106.301988,1659.688,2.012
motivation_existing_scaling,BranchFS,64,2,105.27085,0.206218,105.27085,105.402086,1644.857,3.222
motivation_existing_scaling,Crab,64,2,4.771487,0.001564,4.771487,4.772483,74.554,0.024
motivation_existing_scaling,DeltaBox,64,2,4.831676,0.023742,4.831676,4.846785,75.495,0.371
motivation_existing_scaling,bare,96,2,0.778589,0.036957,0.778589,0.802109,8.11,0.385
motivation_existing_scaling,try,96,2,160.394582,0.076006,160.394582,160.442953,1670.777,0.792
motivation_existing_scaling,YoloFS,96,2,157.327946,0.444022,157.327946,157.61052,1638.833,4.625
motivation_existing_scaling,BranchFS,96,2,158.362535,0.168584,158.362535,158.469821,1649.61,1.756
motivation_existing_scaling,Crab,96,2,5.422839,0.032889,5.422839,5.443769,56.488,0.343
motivation_existing_scaling,DeltaBox,96,2,5.457536,0.043992,5.457536,5.485532,56.849,0.458
motivation_existing_scaling,bare,128,2,1.028612,0.004416,1.028612,1.031422,8.036,0.034
motivation_existing_scaling,try,128,2,213.018271,0.247487,213.018271,213.175771,1664.205,1.933
motivation_existing_scaling,YoloFS,128,2,208.776997,0.342058,208.776997,208.994682,1631.07,2.672
motivation_existing_scaling,BranchFS,128,2,213.029161,0.541698,213.029161,213.373895,1664.29,4.232
motivation_existing_scaling,Crab,128,2,6.054555,0.070571,6.054555,6.099466,47.301,0.551
motivation_existing_scaling,DeltaBox,128,2,6.09655,0.050659,6.09655,6.12879,47.629,0.396
