suite,mode,length,repeats,samples,step_p50_ms,step_p95_ms,run_p50_ms,run_p95_ms
motivation_existing_tail,bare,32,2,64,2.905,33.658,239.615,244.071
motivation_existing_tail,try,32,2,64,1665.577,1759.149,53542.349,53752.242
motivation_existing_tail,YoloFS,32,2,64,1636.572,1758.229,52529.583,52680.994
motivation_existing_tail,BranchFS,32,2,64,1656.732,1743.205,53378.779,53410.966
motivation_existing_tail,Crab,32,2,64,14.582,70.744,4123.675,4179.543
motivation_existing_tail,DeltaBox,32,2,64,14.312,54.06,4085.69,4108.878
motivation_existing_tail,bare,64,2,128,2.879,37.164,519.338,523.816
motivation_existing_tail,try,64,2,128,1681.44,1779.573,107892.68,107903.882
motivation_existing_tail,YoloFS,64,2,128,1635.757,1729.557,104707.198,104803.015
motivation_existing_tail,BranchFS,64,2,128,1636.8,1721.416,105121.214,105191.083
motivation_existing_tail,Crab,64,2,128,14.543,50.897,4720.626,4728.412
motivation_existing_tail,DeltaBox,64,2,128,14.907,51.444,4789.412,4797.357
motivation_existing_tail,bare,96,2,192,2.871,35.899,761.539,770.455
motivation_existing_tail,try,96,2,192,1654.967,1753.728,159320.857,159717.099
motivation_existing_tail,YoloFS,96,2,192,1640.8,1738.067,157900.892,157955.151
motivation_existing_tail,BranchFS,96,2,192,1645.311,1740.741,158780.906,159460.0
motivation_existing_tail,Crab,96,2,192,15.082,50.842,5403.056,5433.501
motivation_existing_tail,DeltaBox,96,2,192,14.939,51.202,5339.784,5355.607
motivation_existing_tail,bare,128,2,256,3.048,36.086,1020.792,1045.314
motivation_existing_tail,try,128,2,256,1656.117,1740.238,212212.162,212498.98
motivation_existing_tail,YoloFS,128,2,256,1652.791,1749.913,211542.676,212253.682
motivation_existing_tail,BranchFS,128,2,256,1641.88,1740.134,211411.728,212150.975
motivation_existing_tail,Crab,128,2,256,15.151,51.572,6094.676,6103.692
motivation_existing_tail,DeltaBox,128,2,256,14.911,51.689,6068.306,6098.743
