suite,task,official_group,scale,difficulty,category,version,mode,harness_backend,model,repeats,paired_success_repeats,usage_sources,success_rate,success_tokens_mean,success_prompt_tokens_mean,success_completion_tokens_mean,avoided_tokens_mean,total_tokens_mean,total_tokens_p50,total_tokens_p95,total_tokens_p99,recovery_wall_s_p50,recovery_wall_s_p95
swe,astropy__astropy-12907,astropy/astropy,medium,,astropy/astropy,4.3,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.311871,18.311871
swe,astropy__astropy-12907,astropy/astropy,medium,,astropy/astropy,4.3,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.942197,10.942197
swe,astropy__astropy-12907,astropy/astropy,medium,,astropy/astropy,4.3,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.86603,10.86603
swe,astropy__astropy-14182,astropy/astropy,medium,,astropy/astropy,5.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.583509,12.583509
swe,astropy__astropy-14182,astropy/astropy,medium,,astropy/astropy,5.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.545058,10.545058
swe,astropy__astropy-14182,astropy/astropy,medium,,astropy/astropy,5.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.417847,10.417847
swe,astropy__astropy-14365,astropy/astropy,short,,astropy/astropy,5.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.981062,18.981062
swe,astropy__astropy-14365,astropy/astropy,short,,astropy/astropy,5.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.615729,10.615729
swe,astropy__astropy-14365,astropy/astropy,short,,astropy/astropy,5.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.696614,10.696614
swe,astropy__astropy-14995,astropy/astropy,medium,,astropy/astropy,5.2,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.675989,18.675989
swe,astropy__astropy-14995,astropy/astropy,medium,,astropy/astropy,5.2,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.939204,10.939204
swe,astropy__astropy-14995,astropy/astropy,medium,,astropy/astropy,5.2,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.753065,10.753065
swe,astropy__astropy-6938,astropy/astropy,short,,astropy/astropy,1.3,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.642769,82.642769
swe,astropy__astropy-6938,astropy/astropy,short,,astropy/astropy,1.3,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.232464,10.232464
swe,astropy__astropy-6938,astropy/astropy,short,,astropy/astropy,1.3,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.346873,10.346873
swe,astropy__astropy-7746,astropy/astropy,medium,,astropy/astropy,1.3,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.535322,92.535322
swe,astropy__astropy-7746,astropy/astropy,medium,,astropy/astropy,1.3,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.837943,9.837943
swe,astropy__astropy-7746,astropy/astropy,medium,,astropy/astropy,1.3,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.959502,9.959502
swe,django__django-10914,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.370731,90.370731
swe,django__django-10914,django/django,short,,django/django,3.0,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.160875,12.160875
swe,django__django-10914,django/django,short,,django/django,3.0,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.798519,11.798519
swe,django__django-10924,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.848528,39.848528
swe,django__django-10924,django/django,short,,django/django,3.0,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.783778,11.783778
swe,django__django-10924,django/django,short,,django/django,3.0,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.837787,11.837787
swe,django__django-11001,django/django,medium,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.596711,97.596711
swe,django__django-11001,django/django,medium,,django/django,3.0,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.983319,11.983319
swe,django__django-11001,django/django,medium,,django/django,3.0,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.031945,12.031945
swe,django__django-11019,django/django,long,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.776803,93.776803
swe,django__django-11019,django/django,long,,django/django,3.0,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.507433,12.507433
swe,django__django-11019,django/django,long,,django/django,3.0,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.661203,12.661203
swe,django__django-11039,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.05951,91.05951
swe,django__django-11039,django/django,short,,django/django,3.0,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.951279,11.951279
swe,django__django-11039,django/django,short,,django/django,3.0,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.166155,12.166155
swe,django__django-11049,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.979639,34.979639
swe,django__django-11049,django/django,short,,django/django,3.0,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.260484,12.260484
swe,django__django-11049,django/django,short,,django/django,3.0,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.951266,11.951266
swe,django__django-11099,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.302706,34.302706
swe,django__django-11099,django/django,short,,django/django,3.0,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.146613,12.146613
swe,django__django-11099,django/django,short,,django/django,3.0,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.216299,12.216299
swe,django__django-11133,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.53174,40.53174
swe,django__django-11133,django/django,short,,django/django,3.0,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.044674,12.044674
swe,django__django-11133,django/django,short,,django/django,3.0,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.229995,12.229995
swe,django__django-11179,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.253888,88.253888
swe,django__django-11179,django/django,short,,django/django,3.0,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.015885,12.015885
swe,django__django-11179,django/django,short,,django/django,3.0,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.105304,12.105304
swe,django__django-11283,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.025943,36.025943
swe,django__django-11283,django/django,short,,django/django,3.0,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.090098,12.090098
swe,django__django-11283,django/django,short,,django/django,3.0,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.287284,12.287284
swe,django__django-11422,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.157373,47.157373
swe,django__django-11422,django/django,short,,django/django,3.0,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.944045,11.944045
swe,django__django-11422,django/django,short,,django/django,3.0,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.900587,11.900587
swe,django__django-11564,django/django,short,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.053661,91.053661
swe,django__django-11564,django/django,short,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.330695,12.330695
swe,django__django-11564,django/django,short,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.141822,12.141822
swe,django__django-11583,django/django,long,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.888321,96.888321
swe,django__django-11583,django/django,long,,django/django,3.0,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.199644,12.199644
swe,django__django-11583,django/django,long,,django/django,3.0,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.259844,12.259844
swe,django__django-11620,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.224584,75.224584
swe,django__django-11620,django/django,short,,django/django,3.0,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.135264,12.135264
swe,django__django-11620,django/django,short,,django/django,3.0,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.133728,12.133728
swe,django__django-11630,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.955266,54.955266
swe,django__django-11630,django/django,short,,django/django,3.0,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.160636,12.160636
swe,django__django-11630,django/django,short,,django/django,3.0,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.884549,11.884549
swe,django__django-11742,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.669392,47.669392
swe,django__django-11742,django/django,short,,django/django,3.0,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.88709,11.88709
swe,django__django-11742,django/django,short,,django/django,3.0,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.814144,11.814144
swe,django__django-11797,django/django,short,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.42469,88.42469
swe,django__django-11797,django/django,short,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.306959,12.306959
swe,django__django-11797,django/django,short,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.390534,12.390534
swe,django__django-11815,django/django,medium,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.752644,103.752644
swe,django__django-11815,django/django,medium,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.998608,11.998608
swe,django__django-11815,django/django,medium,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.110207,12.110207
swe,django__django-11848,django/django,short,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.882463,44.882463
swe,django__django-11848,django/django,short,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.950482,11.950482
swe,django__django-11848,django/django,short,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.044643,12.044643
swe,django__django-11905,django/django,short,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.857835,46.857835
swe,django__django-11905,django/django,short,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.122913,12.122913
swe,django__django-11905,django/django,short,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.363847,12.363847
swe,django__django-11910,django/django,short,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.172326,45.172326
swe,django__django-11910,django/django,short,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.316716,12.316716
swe,django__django-11910,django/django,short,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.46067,12.46067
swe,django__django-11964,django/django,medium,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.313594,87.313594
swe,django__django-11964,django/django,medium,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.952329,11.952329
swe,django__django-11964,django/django,medium,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.162264,12.162264
swe,django__django-11999,django/django,short,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.281757,96.281757
swe,django__django-11999,django/django,short,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.96404,11.96404
swe,django__django-11999,django/django,short,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.251053,12.251053
swe,django__django-12113,django/django,long,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.643323,91.643323
swe,django__django-12113,django/django,long,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.106783,12.106783
swe,django__django-12113,django/django,long,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.139844,12.139844
swe,django__django-12125,django/django,medium,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.278224,97.278224
swe,django__django-12125,django/django,medium,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.954766,11.954766
swe,django__django-12125,django/django,medium,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.017255,12.017255
