suite,task,official_group,scale,difficulty,category,version,mode,harness_backend,model,repeats,paired_success_repeats,usage_sources,success_rate,success_tokens_mean,success_prompt_tokens_mean,success_completion_tokens_mean,avoided_tokens_mean,total_tokens_mean,total_tokens_p50,total_tokens_p95,total_tokens_p99,recovery_wall_s_p50,recovery_wall_s_p95
swe,astropy__astropy-12907,astropy/astropy,medium,,astropy/astropy,4.3,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.068383,29.068383
swe,astropy__astropy-14182,astropy/astropy,medium,,astropy/astropy,5.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.478201,10.478201
swe,astropy__astropy-14365,astropy/astropy,short,,astropy/astropy,5.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.927236,26.927236
swe,astropy__astropy-14995,astropy/astropy,medium,,astropy/astropy,5.2,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.909027,18.909027
swe,astropy__astropy-6938,astropy/astropy,short,,astropy/astropy,1.3,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.027746,34.027746
swe,astropy__astropy-7746,astropy/astropy,medium,,astropy/astropy,1.3,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.574874,33.574874
swe,django__django-10914,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.141563,12.141563
swe,django__django-10924,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.663681,38.663681
swe,django__django-11001,django/django,medium,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.175864,83.175864
swe,django__django-11019,django/django,long,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9696,35.9696
swe,django__django-11039,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.459121,37.459121
swe,django__django-11049,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.28166,38.28166
swe,django__django-11099,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.848821,86.848821
swe,django__django-11133,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.830127,35.830127
swe,django__django-11179,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.877228,76.877228
swe,django__django-11283,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.768954,72.768954
swe,django__django-11422,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.800645,76.800645
swe,django__django-11564,django/django,short,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.166634,96.166634
swe,django__django-11583,django/django,long,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.55975,94.55975
swe,django__django-11620,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.354422,76.354422
swe,django__django-11630,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.047192,96.047192
swe,django__django-11742,django/django,short,,django/django,3.0,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.832531,95.832531
swe,django__django-11797,django/django,short,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.010314,97.010314
swe,django__django-11815,django/django,medium,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.418469,98.418469
