mode,document_lines,repeat,model,wall_s,prompt_tokens,completion_tokens,total_tokens,tool_calls,model_calls,ledger_steps,rollback_targets,policy_targets_correct,regenerated_documents,regenerated_document_count,replay_usage,regeneration_compliant,host_polluted_before_commit,tests_rc,success,error
causal,12,0,deepseek-chat,2.055014,0,0,0,0,0,5,"[1, 3, 4]",True,[],0,[],True,False,0,True,
causal,12,1,deepseek-chat,2.748698,0,0,0,0,0,5,"[1, 3, 4]",True,[],0,[],True,False,0,True,
causal,12,2,deepseek-chat,1.859572,0,0,0,0,0,5,"[1, 3, 4]",True,[],0,[],True,False,0,True,
temporal_checkpoint,12,0,deepseek-chat,6.533503,412,292,704,1,1,6,"[1, 2, 3, 4]",True,"[""docs/changelog.md""]",1,"[{""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 292, ""total_tokens"": 704}]",True,False,0,True,
temporal_checkpoint,12,1,deepseek-chat,5.658946,412,295,707,1,1,6,"[1, 2, 3, 4]",True,"[""docs/changelog.md""]",1,"[{""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 295, ""total_tokens"": 707}]",True,False,0,True,
temporal_checkpoint,12,2,deepseek-chat,5.146213,412,254,666,1,1,6,"[1, 2, 3, 4]",True,"[""docs/changelog.md""]",1,"[{""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 254, ""total_tokens"": 666}]",True,False,0,True,
whole_branch_abort,12,0,deepseek-chat,9.314924,824,616,1440,2,2,7,"[0, 1, 2, 3, 4]",True,"[""docs/design.md"", ""docs/changelog.md""]",2,"[{""path"": ""docs/design.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 293, ""total_tokens"": 705}, {""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 323, ""total_tokens"": 735}]",True,False,0,True,
whole_branch_abort,12,1,deepseek-chat,9.368591,824,637,1461,2,2,7,"[0, 1, 2, 3, 4]",True,"[""docs/design.md"", ""docs/changelog.md""]",2,"[{""path"": ""docs/design.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 287, ""total_tokens"": 699}, {""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 350, ""total_tokens"": 762}]",True,False,0,True,
whole_branch_abort,12,2,deepseek-chat,8.105399,824,582,1406,2,2,7,"[0, 1, 2, 3, 4]",True,"[""docs/design.md"", ""docs/changelog.md""]",2,"[{""path"": ""docs/design.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 307, ""total_tokens"": 719}, {""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 275, ""total_tokens"": 687}]",True,False,0,True,
causal,24,0,deepseek-chat,2.630739,0,0,0,0,0,5,"[1, 3, 4]",True,[],0,[],True,False,0,True,
causal,24,1,deepseek-chat,1.977439,0,0,0,0,0,5,"[1, 3, 4]",True,[],0,[],True,False,0,True,
causal,24,2,deepseek-chat,1.971843,0,0,0,0,0,5,"[1, 3, 4]",True,[],0,[],True,False,0,True,
temporal_checkpoint,24,0,deepseek-chat,7.670364,412,597,1009,1,1,6,"[1, 2, 3, 4]",True,"[""docs/changelog.md""]",1,"[{""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 597, ""total_tokens"": 1009}]",True,False,0,True,
temporal_checkpoint,24,1,deepseek-chat,6.656935,412,478,890,1,1,6,"[1, 2, 3, 4]",True,"[""docs/changelog.md""]",1,"[{""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 478, ""total_tokens"": 890}]",True,False,0,True,
temporal_checkpoint,24,2,deepseek-chat,9.004914,412,603,1015,1,1,6,"[1, 2, 3, 4]",True,"[""docs/changelog.md""]",1,"[{""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 603, ""total_tokens"": 1015}]",True,False,0,True,
whole_branch_abort,24,0,deepseek-chat,14.02836,824,1111,1935,2,2,7,"[0, 1, 2, 3, 4]",True,"[""docs/design.md"", ""docs/changelog.md""]",2,"[{""path"": ""docs/design.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 527, ""total_tokens"": 939}, {""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 584, ""total_tokens"": 996}]",True,False,0,True,
whole_branch_abort,24,1,deepseek-chat,12.555208,824,1008,1832,2,2,7,"[0, 1, 2, 3, 4]",True,"[""docs/design.md"", ""docs/changelog.md""]",2,"[{""path"": ""docs/design.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 538, ""total_tokens"": 950}, {""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 470, ""total_tokens"": 882}]",True,False,0,True,
whole_branch_abort,24,2,deepseek-chat,13.720326,824,1069,1893,2,2,7,"[0, 1, 2, 3, 4]",True,"[""docs/design.md"", ""docs/changelog.md""]",2,"[{""path"": ""docs/design.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 556, ""total_tokens"": 968}, {""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 513, ""total_tokens"": 925}]",True,False,0,True,
causal,48,0,deepseek-chat,2.065618,0,0,0,0,0,5,"[1, 3, 4]",True,[],0,[],True,False,0,True,
causal,48,1,deepseek-chat,2.156171,0,0,0,0,0,5,"[1, 3, 4]",True,[],0,[],True,False,0,True,
causal,48,2,deepseek-chat,2.02164,0,0,0,0,0,5,"[1, 3, 4]",True,[],0,[],True,False,0,True,
temporal_checkpoint,48,0,deepseek-chat,13.344771,412,1105,1517,1,1,6,"[1, 2, 3, 4]",True,"[""docs/changelog.md""]",1,"[{""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 1105, ""total_tokens"": 1517}]",True,False,0,True,
temporal_checkpoint,48,1,deepseek-chat,11.154236,412,928,1340,1,1,6,"[1, 2, 3, 4]",True,"[""docs/changelog.md""]",1,"[{""path"": ""docs/changelog.md"", ""attempts"": 1, ""prompt_tokens"": 412, ""completion_tokens"": 928, ""total_tokens"": 1340}]",True,False,0,True,
